area,ignore,image_id,bbox,category_id,file_name,width,height,category_full_name,annotate_id,coord_tl,coord_br,category_color_name,category_piece_name
138232,0,20180000004,"[1776, 67, 296, 467]",8,4.jpg,3264,1836,white-queen,43,"[1776, 67]","[2072, 534]",white,queen
109350,0,20180000004,"[1992, 525, 270, 405]",6,4.jpg,3264,1836,white-bishop,44,"[1992, 525]","[2262, 930]",white,bishop
113712,0,20180000004,"[1937, 891, 276, 412]",1,4.jpg,3264,1836,white-knight,45,"[1937, 891]","[2213, 1303]",white,knight
85008,0,20180000004,"[2306, 1087, 253, 336]",4,4.jpg,3264,1836,white-pawn,46,"[2306, 1087]","[2559, 1423]",white,pawn
76080,0,20180000004,"[2273, 695, 240, 317]",5,4.jpg,3264,1836,black-pawn,47,"[2273, 695]","[2513, 1012]",black,pawn
139490,0,20180000005,"[924, 572, 290, 481]",12,5.jpg,3264,1836,white-king,48,"[924, 572]","[1214, 1053]",white,king
54758,0,20180000005,"[966, 1195, 209, 262]",4,5.jpg,3264,1836,white-pawn,49,"[966, 1195]","[1175, 1457]",white,pawn
76638,0,20180000005,"[1206, 1009, 241, 318]",1,5.jpg,3264,1836,white-knight,50,"[1206, 1009]","[1447, 1327]",white,knight
57524,0,20180000005,"[1295, 1402, 197, 292]",5,5.jpg,3264,1836,black-pawn,51,"[1295, 1402]","[1492, 1694]",black,pawn
74980,0,20180000005,"[1503, 1230, 230, 326]",6,5.jpg,3264,1836,white-bishop,52,"[1503, 1230]","[1733, 1556]",white,bishop
77040,0,20180000005,"[1824, 1129, 240, 321]",7,5.jpg,3264,1836,white-rook,53,"[1824, 1129]","[2064, 1450]",white,rook
137816,0,20180000005,"[2051, 1298, 322, 428]",8,5.jpg,3264,1836,white-queen,54,"[2051, 1298]","[2373, 1726]",white,queen
64152,0,20180000005,"[2147, 839, 198, 324]",9,5.jpg,3264,1836,black-bishop,55,"[2147, 839]","[2345, 1163]",black,bishop
100738,0,20180000005,"[1978, 578, 241, 418]",10,5.jpg,3264,1836,black-queen,56,"[1978, 578]","[2219, 996]",black,queen
130830,0,20180000005,"[1692, 651, 294, 445]",11,5.jpg,3264,1836,black-king,57,"[1692, 651]","[1986, 1096]",black,king
69708,0,20180000005,"[1433, 744, 222, 314]",3,5.jpg,3264,1836,black-knight,58,"[1433, 744]","[1655, 1058]",black,knight
62196,0,20180000005,"[1223, 541, 219, 284]",2,5.jpg,3264,1836,black-rook,59,"[1223, 541]","[1442, 825]",black,rook
